Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2001,9,11,2,NA,1616,NA,1749,US,459,‰NKNOÊ,NA,93,NA,NA,NA,MCO,CLT,468,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1140,NA,1238,US,460,‰NKNOÊ,NA,58,NA,NA,NA,PIT,DCA,205,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1205,NA,1303,US,461,‰NKNOÊ,NA,118,NA,NA,NA,CLT,ORD,599,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1020,NA,1109,US,461,‰NKNOÊ,NA,49,NA,NA,NA,MYR,CLT,156,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,2230,NA,2324,US,462,‰NKNOÊ,NA,54,NA,NA,NA,CLT,CHS,168,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1815,NA,2136,US,462,‰NKNOÊ,NA,141,NA,NA,NA,DFW,CLT,936,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1350,NA,1525,US,463,‰NKNOÊ,NA,155,NA,NA,NA,CLT,IAH,913,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1207,NA,1259,US,463,‰NKNOÊ,NA,52,NA,NA,NA,RDU,CLT,130,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1915,NA,2103,US,464,‰NKNOÊ,NA,108,NA,NA,NA,LGA,GSO,461,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1405,NA,1628,US,465,‰NKNOÊ,NA,143,NA,NA,NA,DCA,TPA,814,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1200,NA,1310,US,465,‰NKNOÊ,NA,70,NA,NA,NA,SYR,DCA,298,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1528,NA,1705,US,466,‰NKNOÊ,NA,97,NA,NA,NA,CLE,PHL,363,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1855,NA,2116,US,467,‰NKNOÊ,NA,141,NA,NA,NA,DCA,TPA,814,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1650,NA,1800,US,467,‰NKNOÊ,NA,70,NA,NA,NA,SYR,DCA,298,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,2250,NA,2330,US,468,‰NKNOÊ,NA,40,NA,NA,NA,CLT,AVL,92,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1958,NA,2154,US,468,‰NKNOÊ,NA,116,NA,NA,NA,FLL,CLT,631,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,2100,NA,2241,US,469,‰NKNOÊ,NA,161,NA,NA,NA,CLT,DFW,936,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1905,NA,2020,US,469,‰NKNOÊ,NA,75,NA,NA,NA,CMH,CLT,346,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1000,NA,1240,US,470,‰NKNOÊ,NA,160,NA,NA,NA,FLL,PHL,992,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1420,NA,1543,US,471,‰NKNOÊ,NA,83,NA,NA,NA,PIT,CLT,366,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1349,NA,1430,US,472,‰NKNOÊ,NA,41,NA,NA,NA,GSO,CLT,83,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1101,NA,1331,US,473,‰NKNOÊ,NA,150,NA,NA,NA,PHL,TPA,920,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1850,NA,2013,US,474,‰NKNOÊ,NA,83,NA,NA,NA,ORF,PIT,330,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,2055,NA,2114,US,474,‰NKNOÊ,NA,79,NA,NA,NA,PIT,IND,325,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1640,NA,1800,US,475,‰NKNOÊ,NA,80,NA,NA,NA,BUF,LGA,292,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1845,NA,2012,US,475,‰NKNOÊ,NA,87,NA,NA,NA,LGA,RIC,292,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1525,NA,1602,US,476,‰NKNOÊ,NA,97,NA,NA,NA,CLT,IND,428,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1540,NA,1654,US,477,‰NKNOÊ,NA,74,NA,NA,NA,BDL,PHL,196,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1800,NA,2051,US,477,‰NKNOÊ,NA,171,NA,NA,NA,PHL,TPA,920,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,757,800,NA,1044,US,478,N828‰‚,NA,164,NA,NA,-3,FLL,PIT,994,0,10,0,NA,1,NA,NA,NA,NA,NA
2001,9,11,2,NA,1130,NA,1202,US,478,‰NKNOÊ,NA,92,NA,NA,NA,PIT,ORD,412,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1255,NA,1417,US,479,‰NKNOÊ,NA,82,NA,NA,NA,BUF,LGA,292,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1500,NA,1650,US,479,‰NKNOÊ,NA,110,NA,NA,NA,LGA,GSO,461,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1500,NA,1615,US,480,‰NKNOÊ,NA,75,NA,NA,NA,DCA,SYR,298,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1200,NA,1407,US,480,‰NKNOÊ,NA,127,NA,NA,NA,MCO,DCA,759,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1805,NA,2030,US,481,‰NKNOÊ,NA,145,NA,NA,NA,PHL,ATL,665,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1525,NA,1719,US,482,‰NKNOÊ,NA,114,NA,NA,NA,CLT,EWR,529,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,806,810,832,834,US,483,N885‰‚,86,84,56,-2,-4,CLT,BNA,329,5,25,0,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1220,NA,1451,US,484,‰NKNOÊ,NA,151,NA,NA,NA,MCO,PHL,861,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1545,NA,1709,US,484,‰NKNOÊ,NA,84,NA,NA,NA,PHL,BTV,336,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,629,630,704,707,US,486,N880‰‚,35,37,20,-3,-1,CAK,PIT,70,6,9,0,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,741,745,836,852,US,486,N880‰‚,55,67,46,-16,-4,PIT,SYR,279,2,7,0,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,906,910,1006,1002,US,487,N852‰‚,60,52,35,4,-4,CLT,TYS,177,6,19,0,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,732,740,820,832,US,487,N852‰‚,48,52,33,-12,-8,RDU,CLT,130,6,9,0,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,639,645,NA,1021,US,488,N713‰Ê,NA,156,NA,NA,-6,DFW,PIT,1068,0,18,0,NA,1,NA,NA,NA,NA,NA
2001,9,11,2,NA,2105,NA,2202,US,489,‰NKNOÊ,NA,57,NA,NA,NA,CLT,CHS,168,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,820,825,1001,959,US,491,N519A‰,101,94,77,2,-5,ABE,CLT,481,11,13,0,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1045,NA,1137,US,491,‰NKNOÊ,NA,52,NA,NA,NA,CLT,ILM,185,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1030,NA,1433,US,492,‰NKNOÊ,NA,183,NA,NA,NA,DFW,PHL,1302,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1535,NA,1651,US,492,‰NKNOÊ,NA,76,NA,NA,NA,PHL,MHT,290,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,935,NA,1057,US,493,‰NKNOÊ,NA,82,NA,NA,NA,ALB,PIT,367,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,11,2,NA,1141,NA,1255,US,493,‰NKNOÊ,NA,74,NA,NA,NA,PIT,RDU,328,0,0,1,NA,0,NA,NA,NA,NA,NA
