id,name,lat,lon,idname
BBA,Balmaceda,-45.916111,-71.689444,BBA (Balmaceda)
SCQ,Santiago de Compostela,42.896389,-8.415278,SCQ (Santiago de Compostela)
JRH,Jorhat,26.731667,94.175556,JRH (Jorhat)
SCU,Antonio Maceo,19.969722,-75.835278,SCU (Antonio Maceo)
SCT,Socotra,12.630556,53.905833,SCT (Socotra)
JRO,Kilimanjaro International,-3.429444,37.074444,JRO (Kilimanjaro International)
SCW,Syktyvkar,61.646944,50.845,SCW (Syktyvkar)
SCV,Suceava International,47.6875,26.354167,SCV (Suceava International)
SCY,San Cristóbal,-0.910278,-89.6175,SCY (San Cristóbal)
BBI,Biju Patnaik International,20.244444,85.817778,BBI (Biju Patnaik International)
BBK,Kasane,-17.832778,25.1625,BBK (Kasane)
SCZ,Santa Cruz/Graciosa Bay/Luova,-10.719722,165.796389,SCZ (Santa Cruz/Graciosa Bay/Luova)
BBO,Berbera Airport,10.3892,44.941101,BBO (Berbera Airport)
BBN,Bario,3.734722,115.478333,BBN (Bario)
SDD,Lubango,-14.924722,13.575,SDD (Lubango)
SDF,Louisville International,38.174444,-85.736111,SDF (Louisville International)
SDE,Vicecomodoro Ángel de la Paz Aragonés,-27.765556,-64.31,SDE (Vicecomodoro Ángel de la Paz Aragonés)
SDG,Sanandaj,35.250833,47.011111,SDG (Sanandaj)
SDJ,Sendai,38.139722,140.916944,SDJ (Sendai)
BBX,Wings Field,40.137501,-75.265099,BBX (Wings Field)
JSA,Jaisalmer,26.888611,70.865,JSA (Jaisalmer)
SDL,Sundsvall–Timrå,62.528056,17.443889,SDL (Sundsvall–Timrå)
SDK,Sandakan,5.901389,118.061111,SDK (Sandakan)
SDN,"Sandane Airport, Anda",61.83,6.1075,"SDN (Sandane Airport, Anda)"
SDP,Sand Point,55.315,-160.52278,SDP (Sand Point)
JSH,Sitia Public,35.216111,26.101389,JSH (Sitia Public)
SDR,Santander,43.426944,-3.82,SDR (Santander)
JSJ,Jiansanjiang,47.11,132.660278,JSJ (Jiansanjiang)
SDQ,Las Américas International,18.429722,-69.668889,SDQ (Las Américas International)
BCA,Gustavo Rizo,20.365278,-74.506111,BCA (Gustavo Rizo)
JSI,Skiathos Island National,39.177222,23.503611,JSI (Skiathos Island National)
BCD,Bacolod–Silay,10.776667,123.019167,BCD (Bacolod–Silay)
SDV,Sde Dov,32.114722,34.782222,SDV (Sde Dov)
